Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	1668 ms		Content: Europe eve 792437 56
     [java] Duration:	4 ms		Content: Europe eve 869092 46
     [java] Duration:	2 ms		Content: Europe eve 315321 44
     [java] Duration:	3 ms		Content: Europe eve 112030 44
     [java] Duration:	11 ms		Content: Europe carol 202696 53
     [java] Duration:	26 ms		Content: Europe carol 927950 34
     [java] Duration:	3 ms		Content: Europe gary 102419 31
     [java] Duration:	3 ms		Content: Europe carol 457954 45
     [java] Duration:	4 ms		Content: Europe alice 42012 47
     [java] Duration:	3 ms		Content: Europe eve 244733 33
     [java] Duration:	2 ms		Content: Europe carol 1042400 59
     [java] Duration:	2 ms		Content: Europe alice 519539 55
     [java] Duration:	2 ms		Content: Europe alice 718041 34
     [java] Duration:	3 ms		Content: Europe gary 532352 35
     [java] Duration:	3 ms		Content: Europe eve 925551 33
     [java] Duration:	3 ms		Content: Europe gary 167709 30
     [java] Duration:	3 ms		Content: Europe carol 32721 55
     [java] Duration:	2 ms		Content: Europe eve 880123 51
     [java] Duration:	3 ms		Content: Europe carol 848076 30
     [java] Duration:	3 ms		Content: Europe gary 967311 56
     [java] Duration:	3 ms		Content: Europe eve 980806 35
     [java] Duration:	3 ms		Content: Europe carol 522804 44
     [java] Duration:	3 ms		Content: Europe gary 233548 52
     [java] Duration:	3 ms		Content: Europe eve 623601 41
     [java] Duration:	3 ms		Content: Europe carol 913333 43
     [java] Duration:	3 ms		Content: Europe eve 65894 30
     [java] Duration:	3 ms		Content: Europe alice 1009531 58
     [java] Duration:	3 ms		Content: Europe carol 564333 56
     [java] Duration:	3 ms		Content: Europe alice 1039745 52
     [java] Duration:	4 ms		Content: Europe carol 426824 54
     [java] Duration:	2 ms		Content: Europe eve 188269 37
     [java] Duration:	8 ms		Content: Europe alice 132462 32
     [java] Duration:	3 ms		Content: Europe eve 418970 34
     [java] Duration:	2 ms		Content: Europe alice 273145 48
     [java] Duration:	3 ms		Content: Europe alice 572111 43
     [java] Duration:	2 ms		Content: Europe carol 548192 43
     [java] Duration:	2 ms		Content: Europe gary 73326 39
     [java] Duration:	3 ms		Content: Europe eve 657398 35
     [java] Duration:	3 ms		Content: Europe carol 685734 59
     [java] Duration:	7 ms		Content: Europe eve 434599 40
     [java] Duration:	7 ms		Content: Europe alice 940762 57
     [java] Duration:	3 ms		Content: Europe eve 633619 39
     [java] Duration:	3 ms		Content: Europe gary 763771 31
     [java] Duration:	2 ms		Content: Europe gary 995378 59
     [java] Duration:	3 ms		Content: Europe alice 133794 43
     [java] Duration:	2 ms		Content: Europe alice 865513 49
     [java] Duration:	2 ms		Content: Europe gary 1032906 44
     [java] Duration:	3 ms		Content: Europe alice 516199 46
     [java] Duration:	3 ms		Content: Europe gary 641470 43
     [java] Duration:	2 ms		Content: Europe alice 58750 57
     [java] Duration:	4 ms		Content: Europe gary 945889 44
     [java] Duration:	2 ms		Content: Europe carol 693065 43
     [java] Duration:	2 ms		Content: Europe eve 1014064 30
     [java] Duration:	2 ms		Content: Europe gary 289751 52
     [java] Duration:	3 ms		Content: Europe alice 606442 44
     [java] Duration:	2 ms		Content: Europe eve 487848 32
     [java] Duration:	2 ms		Content: Europe carol 743265 53
