Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	1962 ms		Content: America harry 849544 41
     [java] Duration:	43 ms		Content: America fred 202212 32
     [java] Duration:	3 ms		Content: America harry 197566 58
     [java] Duration:	4 ms		Content: America fred 272201 46
     [java] Duration:	2 ms		Content: America fred 43359 59
     [java] Duration:	3 ms		Content: America fred 55203 38
     [java] Duration:	2 ms		Content: America harry 138732 37
     [java] Duration:	339 ms		Content: America dave 276196 46
     [java] Duration:	3 ms		Content: America dave 912398 42
     [java] Duration:	3 ms		Content: America dave 292917 45
     [java] Duration:	3 ms		Content: America bob 1045097 41
     [java] Duration:	3 ms		Content: America dave 960517 44
     [java] Duration:	3 ms		Content: America fred 751543 38
     [java] Duration:	2 ms		Content: America dave 520458 49
     [java] Duration:	3 ms		Content: America harry 572798 32
     [java] Duration:	2 ms		Content: America harry 562560 52
     [java] Duration:	3 ms		Content: America harry 370915 53
     [java] Duration:	2 ms		Content: America dave 386678 31
     [java] Duration:	3 ms		Content: America bob 1031320 41
     [java] Duration:	4 ms		Content: America dave 813686 40
     [java] Duration:	2 ms		Content: America dave 921208 45
     [java] Duration:	3 ms		Content: America harry 638794 49
     [java] Duration:	3 ms		Content: America harry 1012910 32
     [java] Duration:	2 ms		Content: America dave 689533 47
     [java] Duration:	3 ms		Content: America harry 451397 32
     [java] Duration:	2 ms		Content: America harry 763212 32
     [java] Duration:	2 ms		Content: America dave 508959 39
     [java] Duration:	2 ms		Content: America bob 1042340 56
     [java] Duration:	2 ms		Content: America fred 425881 48
     [java] Duration:	4 ms		Content: America bob 347064 58
     [java] Duration:	2 ms		Content: America dave 94200 44
     [java] Duration:	3 ms		Content: America bob 444776 54
     [java] Duration:	2 ms		Content: America fred 561624 44
     [java] Duration:	3 ms		Content: America fred 211768 47
     [java] Duration:	24 ms		Content: America harry 864730 43
     [java] Duration:	3 ms		Content: America bob 1040239 31
     [java] Duration:	2 ms		Content: America bob 800588 54
     [java] Duration:	2 ms		Content: America fred 783596 38
     [java] Duration:	2 ms		Content: America harry 254942 48
     [java] Duration:	3 ms		Content: America harry 866857 53
     [java] Duration:	7 ms		Content: America bob 820593 53
     [java] Duration:	3 ms		Content: America harry 488393 32
     [java] Duration:	3 ms		Content: America bob 444117 49
     [java] Duration:	2 ms		Content: America bob 414437 47
     [java] Duration:	2 ms		Content: America bob 596917 39
     [java] Duration:	3 ms		Content: America bob 598361 33
     [java] Duration:	2 ms		Content: America harry 215219 46
     [java] Duration:	3 ms		Content: America bob 334246 51
     [java] Duration:	2 ms		Content: America harry 856651 38
     [java] Duration:	2 ms		Content: America fred 568334 32
     [java] Duration:	2 ms		Content: America fred 731538 58
     [java] Duration:	4 ms		Content: America fred 427488 54
     [java] Duration:	2 ms		Content: America bob 651191 45
     [java] Duration:	2 ms		Content: America fred 362128 38
     [java] Duration:	2 ms		Content: America harry 469171 59
     [java] Duration:	2 ms		Content: America bob 449696 31
     [java] Duration:	2 ms		Content: America bob 712969 48
     [java] Duration:	2 ms		Content: America fred 74790 54
     [java] Duration:	2 ms		Content: America dave 722129 58
     [java] Duration:	2 ms		Content: America dave 976097 49
     [java] Duration:	2 ms		Content: America fred 107323 45
     [java] Duration:	2 ms		Content: America bob 457488 50
     [java] Duration:	5 ms		Content: America fred 645077 58
     [java] Duration:	2 ms		Content: America dave 1028801 56
     [java] Duration:	2 ms		Content: America dave 295900 50
     [java] Duration:	2 ms		Content: America bob 681420 51
     [java] Duration:	8 ms		Content: America fred 176441 45
     [java] Duration:	3 ms		Content: America dave 942080 31
     [java] Duration:	2 ms		Content: America fred 294740 51
     [java] Duration:	2 ms		Content: America bob 711817 56
     [java] Duration:	2 ms		Content: America dave 37031 36
     [java] Duration:	2 ms		Content: America harry 493475 48
     [java] Duration:	2 ms		Content: America bob 487475 31
     [java] Duration:	2 ms		Content: America dave 631740 39
     [java] Duration:	2 ms		Content: America dave 329538 33
     [java] Duration:	2 ms		Content: America harry 982987 52
     [java] Duration:	2 ms		Content: America dave 450708 44
     [java] Duration:	2 ms		Content: America dave 108641 32
     [java] Duration:	2 ms		Content: America bob 71065 49
     [java] Duration:	6 ms		Content: America dave 404420 32
     [java] Duration:	26 ms		Content: America harry 360790 49
     [java] Duration:	20 ms		Content: America fred 870877 32
     [java] Duration:	3 ms		Content: America dave 23234 31
     [java] Duration:	3 ms		Content: America bob 601346 45
     [java] Duration:	2 ms		Content: America harry 1013248 31
     [java] Duration:	2 ms		Content: America dave 424048 55
     [java] Duration:	2 ms		Content: America fred 268834 34
     [java] Duration:	2 ms		Content: America dave 510012 42
     [java] Duration:	3 ms		Content: America harry 732234 43
     [java] Duration:	2 ms		Content: America dave 903683 47
     [java] Duration:	2 ms		Content: America bob 492917 32
     [java] Duration:	2 ms		Content: America fred 808961 59
     [java] Duration:	2 ms		Content: America fred 966396 53
     [java] Duration:	3 ms		Content: America dave 829892 58
     [java] Duration:	2 ms		Content: America bob 482060 37
     [java] Duration:	3 ms		Content: America dave 242713 40
     [java] Duration:	2 ms		Content: America fred 594265 56
     [java] Duration:	3 ms		Content: America harry 984365 41
     [java] Duration:	2 ms		Content: America dave 739822 48
     [java] Duration:	2 ms		Content: America fred 680130 46
     [java] Duration:	2 ms		Content: America bob 837263 35
     [java] Duration:	2 ms		Content: America bob 591701 36
     [java] Duration:	2 ms		Content: America bob 487769 44
     [java] Duration:	2 ms		Content: America dave 734781 44
     [java] Duration:	2 ms		Content: America harry 1022892 39
     [java] Duration:	3 ms		Content: America fred 951585 56
     [java] Duration:	2 ms		Content: America dave 801861 45
     [java] Duration:	2 ms		Content: America fred 742489 41
     [java] Duration:	7 ms		Content: America fred 712288 52
     [java] Duration:	2 ms		Content: America fred 157314 32
     [java] Duration:	2 ms		Content: America dave 3858 59
     [java] Duration:	2 ms		Content: America dave 504489 38
     [java] Duration:	2 ms		Content: America dave 844613 52
     [java] Duration:	2 ms		Content: America dave 855626 52
     [java] Duration:	3 ms		Content: America dave 180707 36
     [java] Duration:	2 ms		Content: America dave 968887 35
     [java] Duration:	3 ms		Content: America bob 90059 55
     [java] Duration:	3 ms		Content: America bob 505660 36
     [java] Duration:	2 ms		Content: America harry 620911 39
     [java] Duration:	2 ms		Content: America bob 79359 50
     [java] Duration:	2 ms		Content: America bob 264646 31
     [java] Duration:	2 ms		Content: America dave 517547 39
     [java] Duration:	2 ms		Content: America dave 630227 49
     [java] Duration:	2 ms		Content: America fred 480179 47
     [java] Duration:	12 ms		Content: America bob 605557 38
     [java] Duration:	4 ms		Content: America bob 466374 52
     [java] Duration:	2 ms		Content: America fred 243624 50
     [java] Duration:	2 ms		Content: America bob 476731 56
     [java] Duration:	38 ms		Content: America dave 118371 36
     [java] Duration:	2 ms		Content: America bob 1014483 45
     [java] Duration:	2 ms		Content: America fred 1041143 39
     [java] Duration:	2 ms		Content: America harry 740893 32
     [java] Duration:	2 ms		Content: America bob 422830 44
     [java] Duration:	2 ms		Content: America bob 704465 35
     [java] Duration:	2 ms		Content: America bob 725469 47
     [java] Duration:	2 ms		Content: America harry 414561 38
     [java] Duration:	2 ms		Content: America harry 268634 48
     [java] Duration:	2 ms		Content: America bob 391599 56
     [java] Duration:	2 ms		Content: America dave 592245 44
     [java] Duration:	2 ms		Content: America harry 804807 37
     [java] Duration:	3 ms		Content: America harry 731670 54
     [java] Duration:	2 ms		Content: America dave 295672 39
     [java] Duration:	2 ms		Content: America fred 925546 37
     [java] Duration:	5 ms		Content: America harry 268054 34
     [java] Duration:	3 ms		Content: America fred 115539 38
     [java] Duration:	2 ms		Content: America dave 39958 49
     [java] Duration:	2 ms		Content: America bob 870604 34
     [java] Duration:	2 ms		Content: America bob 279913 30
     [java] Duration:	2 ms		Content: America harry 761050 36
     [java] Duration:	2 ms		Content: America fred 134749 42
     [java] Duration:	3 ms		Content: America bob 772113 40
     [java] Duration:	3 ms		Content: America dave 828932 44
     [java] Duration:	3 ms		Content: America harry 844047 54
     [java] Duration:	2 ms		Content: America bob 681720 51
     [java] Duration:	2 ms		Content: America harry 80873 39
     [java] Duration:	5 ms		Content: America bob 857394 49
     [java] Duration:	2 ms		Content: America fred 567263 39
     [java] Duration:	2 ms		Content: America dave 914772 37
     [java] Duration:	2 ms		Content: America fred 999249 30
     [java] Duration:	2 ms		Content: America dave 584153 41
     [java] Duration:	3 ms		Content: America bob 810935 48
     [java] Duration:	2 ms		Content: America bob 938751 41
     [java] Duration:	3 ms		Content: America harry 669851 43
     [java] Duration:	2 ms		Content: America fred 178933 47
     [java] Duration:	3 ms		Content: America dave 135768 50
     [java] Duration:	2 ms		Content: America fred 656642 51
     [java] Duration:	2 ms		Content: America harry 75090 52
     [java] Duration:	2 ms		Content: America bob 372432 45
     [java] Duration:	3 ms		Content: America fred 115259 55
     [java] Duration:	2 ms		Content: America bob 636058 37
     [java] Duration:	4 ms		Content: America dave 829386 30
     [java] Duration:	3 ms		Content: America fred 403655 56
     [java] Duration:	3 ms		Content: America fred 687365 58
     [java] Duration:	11 ms		Content: America harry 82623 30
     [java] Duration:	41 ms		Content: America dave 498876 37
     [java] Duration:	12 ms		Content: America harry 25504 51
     [java] Duration:	4 ms		Content: America harry 873498 38
     [java] Duration:	3 ms		Content: America bob 396090 31
     [java] Duration:	25 ms		Content: America fred 200653 49
     [java] Duration:	8 ms		Content: America harry 77041 53
     [java] Duration:	3 ms		Content: America dave 858515 33
     [java] Duration:	2 ms		Content: America fred 933166 30
     [java] Duration:	2 ms		Content: America fred 215270 33
     [java] Duration:	89 ms		Content: America harry 794286 46
     [java] Duration:	33 ms		Content: America harry 403948 35
     [java] Duration:	3 ms		Content: America harry 734132 48
     [java] Duration:	2 ms		Content: America bob 484931 46
     [java] Duration:	2 ms		Content: America fred 1028637 36
     [java] Duration:	2 ms		Content: America harry 595317 42
     [java] Duration:	2 ms		Content: America harry 779741 57
     [java] Duration:	2 ms		Content: America fred 838575 51
     [java] Duration:	2 ms		Content: America bob 946019 45
     [java] Duration:	2 ms		Content: America harry 248864 32
     [java] Duration:	2 ms		Content: America fred 19868 35
     [java] Duration:	2 ms		Content: America fred 828107 34
     [java] Duration:	2 ms		Content: America fred 860816 40
     [java] Duration:	2 ms		Content: America harry 517776 32
     [java] Duration:	2 ms		Content: America bob 802131 30
     [java] Duration:	3 ms		Content: America dave 884335 46
     [java] Duration:	2 ms		Content: America bob 1046153 40
     [java] Duration:	2 ms		Content: America dave 355382 51
     [java] Duration:	2 ms		Content: America bob 685947 49
     [java] Duration:	2 ms		Content: America harry 290816 53
     [java] Duration:	2 ms		Content: America fred 455519 59
     [java] Duration:	2 ms		Content: America fred 158762 49
     [java] Duration:	2 ms		Content: America fred 44909 36
     [java] Duration:	6 ms		Content: America harry 443733 32
     [java] Duration:	3 ms		Content: America dave 570512 30
     [java] Duration:	2 ms		Content: America fred 395501 32
     [java] Duration:	3 ms		Content: America dave 317897 54
     [java] Duration:	2 ms		Content: America fred 277522 50
     [java] Duration:	2 ms		Content: America fred 987256 54
     [java] Duration:	4 ms		Content: America harry 334442 35
     [java] Duration:	2 ms		Content: America harry 791009 40
     [java] Duration:	2 ms		Content: America dave 360596 33
     [java] Duration:	2 ms		Content: America harry 749710 45
     [java] Duration:	5 ms		Content: America dave 387513 54
     [java] Duration:	2 ms		Content: America harry 871549 42
     [java] Duration:	2 ms		Content: America fred 904803 34
     [java] Duration:	3 ms		Content: America fred 661083 56
     [java] Duration:	2 ms		Content: America bob 862928 59
     [java] Duration:	2 ms		Content: America dave 903898 52
     [java] Duration:	2 ms		Content: America harry 705222 51
     [java] Duration:	3 ms		Content: America dave 954096 39
     [java] Duration:	2 ms		Content: America dave 24021 36
     [java] Duration:	3 ms		Content: America dave 276252 47
     [java] Duration:	2 ms		Content: America bob 650116 45
     [java] Duration:	2 ms		Content: America dave 916081 39
     [java] Duration:	3 ms		Content: America dave 4110 53
     [java] Duration:	3 ms		Content: America dave 571766 47
     [java] Duration:	23 ms		Content: America harry 6111 59
     [java] Duration:	2 ms		Content: America fred 729767 58
     [java] Duration:	2 ms		Content: America fred 569202 44
     [java] Duration:	2 ms		Content: America fred 335658 54
     [java] Duration:	2 ms		Content: America bob 488692 38
     [java] Duration:	2 ms		Content: America dave 390863 54
     [java] Duration:	2 ms		Content: America dave 208788 50
     [java] Duration:	2 ms		Content: America dave 462359 45
     [java] Duration:	2 ms		Content: America bob 805899 47
     [java] Duration:	3 ms		Content: America fred 325569 51
     [java] Duration:	2 ms		Content: America harry 180031 38
