Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	402 ms		Content: America fred 66061 50
     [java] Duration:	3 ms		Content: America harry 345105 59
     [java] Duration:	2 ms		Content: America harry 2391 34
     [java] Duration:	3 ms		Content: America dave 171775 52
     [java] Duration:	2 ms		Content: America harry 110834 56
     [java] Duration:	2 ms		Content: America bob 171903 53
     [java] Duration:	3 ms		Content: America fred 141325 55
     [java] Duration:	2 ms		Content: America fred 193049 49
     [java] Duration:	2 ms		Content: America harry 596863 52
     [java] Duration:	3 ms		Content: America harry 576460 40
     [java] Duration:	3 ms		Content: America bob 134064 44
     [java] Duration:	35 ms		Content: America harry 1023835 59
     [java] Duration:	3 ms		Content: America harry 977045 35
     [java] Duration:	3 ms		Content: America harry 465214 41
     [java] Duration:	2 ms		Content: America dave 729615 37
     [java] Duration:	3 ms		Content: America harry 744503 34
     [java] Duration:	3 ms		Content: America fred 828698 49
     [java] Duration:	63 ms		Content: America bob 488210 43
     [java] Duration:	3 ms		Content: America harry 635513 54
     [java] Duration:	3 ms		Content: America dave 434079 30
     [java] Duration:	3 ms		Content: America harry 913478 48
     [java] Duration:	3 ms		Content: America bob 288486 55
     [java] Duration:	2 ms		Content: America dave 948035 45
     [java] Duration:	3 ms		Content: America bob 53034 59
     [java] Duration:	2 ms		Content: America harry 330030 53
     [java] Duration:	3 ms		Content: America fred 750091 57
     [java] Duration:	3 ms		Content: America dave 159061 37
     [java] Duration:	3 ms		Content: America dave 462664 43
     [java] Duration:	2 ms		Content: America harry 708450 36
     [java] Duration:	3 ms		Content: America bob 358 58
     [java] Duration:	3 ms		Content: America harry 852445 32
     [java] Duration:	3 ms		Content: America fred 924767 51
     [java] Duration:	3 ms		Content: America harry 103303 42
     [java] Duration:	2 ms		Content: America bob 706636 40
     [java] Duration:	2 ms		Content: America dave 776846 30
     [java] Duration:	3 ms		Content: America dave 240527 31
     [java] Duration:	5 ms		Content: America harry 829245 41
     [java] Duration:	2 ms		Content: America dave 787833 40
     [java] Duration:	2 ms		Content: America bob 430784 54
     [java] Duration:	2 ms		Content: America bob 446296 52
     [java] Duration:	7 ms		Content: America harry 846351 39
     [java] Duration:	5 ms		Content: America harry 327335 32
     [java] Duration:	3 ms		Content: America harry 1033076 56
     [java] Duration:	3 ms		Content: America fred 303757 32
