Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	268 ms		Content: Europe alice 939743 58
     [java] Duration:	3 ms		Content: Europe carol 384417 41
     [java] Duration:	3 ms		Content: Europe gary 744423 48
     [java] Duration:	3 ms		Content: Europe carol 690521 53
     [java] Duration:	3 ms		Content: Europe eve 173740 55
     [java] Duration:	2 ms		Content: Europe eve 343897 52
     [java] Duration:	27 ms		Content: Europe carol 292386 47
     [java] Duration:	3 ms		Content: Europe carol 872756 32
     [java] Duration:	2 ms		Content: Europe eve 939347 50
     [java] Duration:	3 ms		Content: Europe alice 630073 43
     [java] Duration:	2 ms		Content: Europe eve 180790 53
     [java] Duration:	2 ms		Content: Europe gary 843679 39
     [java] Duration:	12 ms		Content: Europe carol 419867 30
     [java] Duration:	2 ms		Content: Europe carol 238988 31
     [java] Duration:	3 ms		Content: Europe gary 412237 48
     [java] Duration:	3 ms		Content: Europe alice 449300 34
     [java] Duration:	3 ms		Content: Europe alice 601952 36
     [java] Duration:	26 ms		Content: Europe carol 972938 53
     [java] Duration:	3 ms		Content: Europe carol 659067 33
     [java] Duration:	3 ms		Content: Europe eve 467670 34
     [java] Duration:	3 ms		Content: Europe alice 352857 44
     [java] Duration:	18 ms		Content: Europe alice 964987 57
     [java] Duration:	6 ms		Content: Europe alice 642881 55
     [java] Duration:	3 ms		Content: Europe eve 1012087 38
     [java] Duration:	3 ms		Content: Europe carol 486405 40
     [java] Duration:	2 ms		Content: Europe eve 783559 55
     [java] Duration:	2 ms		Content: Europe eve 82736 47
     [java] Duration:	3 ms		Content: Europe alice 269500 59
     [java] Duration:	3 ms		Content: Europe carol 291164 55
     [java] Duration:	2 ms		Content: Europe eve 67451 36
     [java] Duration:	3 ms		Content: Europe gary 437717 42
     [java] Duration:	2 ms		Content: Europe eve 139693 41
     [java] Duration:	3 ms		Content: Europe gary 430809 56
     [java] Duration:	2 ms		Content: Europe eve 128701 50
     [java] Duration:	3 ms		Content: Europe alice 1021528 38
     [java] Duration:	8 ms		Content: Europe carol 1031436 42
     [java] Duration:	5 ms		Content: Europe carol 4792 31
     [java] Duration:	3 ms		Content: Europe gary 478104 47
     [java] Duration:	2 ms		Content: Europe alice 912162 51
     [java] Duration:	2 ms		Content: Europe gary 485280 58
     [java] Duration:	2 ms		Content: Europe gary 508126 56
     [java] Duration:	2 ms		Content: Europe gary 820490 37
     [java] Duration:	2 ms		Content: Europe alice 489831 45
     [java] Duration:	2 ms		Content: Europe alice 147133 49
     [java] Duration:	2 ms		Content: Europe eve 1014257 37
     [java] Duration:	2 ms		Content: Europe gary 129954 50
     [java] Duration:	2 ms		Content: Europe gary 1001451 51
     [java] Duration:	3 ms		Content: Europe alice 753690 52
     [java] Duration:	3 ms		Content: Europe carol 232563 58
     [java] Duration:	4 ms		Content: Europe eve 785152 55
     [java] Duration:	3 ms		Content: Europe gary 974721 39
     [java] Duration:	2 ms		Content: Europe alice 745604 45
     [java] Duration:	2 ms		Content: Europe gary 530591 35
     [java] Duration:	3 ms		Content: Europe eve 561764 50
     [java] Duration:	2 ms		Content: Europe eve 548229 37
     [java] Duration:	20 ms		Content: Europe alice 555831 32
     [java] Duration:	3 ms		Content: Europe alice 1008310 56
     [java] Duration:	2 ms		Content: Europe gary 328217 55
     [java] Duration:	2 ms		Content: Europe alice 366951 39
     [java] Duration:	2 ms		Content: Europe eve 554873 38
     [java] Duration:	2 ms		Content: Europe alice 243376 54
     [java] Duration:	3 ms		Content: Europe carol 404423 53
     [java] Duration:	3 ms		Content: Europe carol 897436 53
     [java] Duration:	6 ms		Content: Europe alice 663546 51
     [java] Duration:	3 ms		Content: Europe alice 642251 59
     [java] Duration:	3 ms		Content: Europe eve 932820 35
     [java] Duration:	3 ms		Content: Europe carol 180850 34
     [java] Duration:	3 ms		Content: Europe alice 300740 39
     [java] Duration:	3 ms		Content: Europe carol 80703 59
     [java] Duration:	3 ms		Content: Europe carol 513504 32
     [java] Duration:	3 ms		Content: Europe alice 253506 53
     [java] Duration:	3 ms		Content: Europe gary 779725 41
     [java] Duration:	2 ms		Content: Europe alice 642894 52
     [java] Duration:	2 ms		Content: Europe alice 858589 42
     [java] Duration:	3 ms		Content: Europe gary 187905 35
     [java] Duration:	2 ms		Content: Europe gary 391987 36
     [java] Duration:	4 ms		Content: Europe alice 248392 33
     [java] Duration:	3 ms		Content: Europe gary 609973 39
     [java] Duration:	3 ms		Content: Europe alice 937883 31
     [java] Duration:	2 ms		Content: Europe eve 195800 45
     [java] Duration:	2 ms		Content: Europe alice 121453 31
     [java] Duration:	4 ms		Content: Europe alice 464492 47
     [java] Duration:	2 ms		Content: Europe alice 157886 32
     [java] Duration:	8 ms		Content: Europe eve 1006985 32
     [java] Duration:	3 ms		Content: Europe alice 319407 37
     [java] Duration:	3 ms		Content: Europe carol 309919 51
     [java] Duration:	26 ms		Content: Europe eve 130178 51
     [java] Duration:	8 ms		Content: Europe gary 1020432 54
     [java] Duration:	2 ms		Content: Europe gary 558316 51
     [java] Duration:	6 ms		Content: Europe alice 791205 35
     [java] Duration:	3 ms		Content: Europe eve 279816 35
     [java] Duration:	2 ms		Content: Europe alice 967297 30
     [java] Duration:	2 ms		Content: Europe alice 300011 54
     [java] Duration:	3 ms		Content: Europe alice 340777 30
     [java] Duration:	2 ms		Content: Europe alice 844702 35
     [java] Duration:	2 ms		Content: Europe eve 77783 44
     [java] Duration:	3 ms		Content: Europe carol 561295 32
     [java] Duration:	2 ms		Content: Europe gary 636138 54
     [java] Duration:	2 ms		Content: Europe carol 560633 33
     [java] Duration:	2 ms		Content: Europe alice 381769 59
     [java] Duration:	3 ms		Content: Europe alice 998075 48
     [java] Duration:	2 ms		Content: Europe gary 713295 41
     [java] Duration:	2 ms		Content: Europe alice 981546 33
     [java] Duration:	2 ms		Content: Europe carol 151574 37
     [java] Duration:	2 ms		Content: Europe alice 424500 37
     [java] Duration:	2 ms		Content: Europe gary 931069 48
     [java] Duration:	2 ms		Content: Europe eve 983127 34
     [java] Duration:	2 ms		Content: Europe eve 638312 36
     [java] Duration:	2 ms		Content: Europe alice 69695 31
     [java] Duration:	2 ms		Content: Europe eve 111092 37
     [java] Duration:	2 ms		Content: Europe alice 433642 59
     [java] Duration:	2 ms		Content: Europe carol 977060 30
     [java] Duration:	2 ms		Content: Europe alice 269322 38
     [java] Duration:	2 ms		Content: Europe eve 202699 43
     [java] Duration:	2 ms		Content: Europe gary 543958 40
     [java] Duration:	2 ms		Content: Europe carol 658670 32
     [java] Duration:	2 ms		Content: Europe eve 503017 57
     [java] Duration:	3 ms		Content: Europe gary 93054 32
     [java] Duration:	2 ms		Content: Europe carol 98197 53
     [java] Duration:	2 ms		Content: Europe alice 61165 50
     [java] Duration:	2 ms		Content: Europe carol 175171 46
     [java] Duration:	2 ms		Content: Europe carol 389319 51
     [java] Duration:	2 ms		Content: Europe carol 215825 40
     [java] Duration:	2 ms		Content: Europe carol 976827 38
     [java] Duration:	10 ms		Content: Europe alice 883842 56
     [java] Duration:	2 ms		Content: Europe carol 489316 39
     [java] Duration:	20 ms		Content: Europe alice 745258 58
     [java] Duration:	3 ms		Content: Europe gary 820132 53
     [java] Duration:	2 ms		Content: Europe gary 566936 32
     [java] Duration:	2 ms		Content: Europe alice 938666 31
     [java] Duration:	2 ms		Content: Europe alice 927882 49
     [java] Duration:	3 ms		Content: Europe alice 1017051 58
     [java] Duration:	2 ms		Content: Europe eve 882890 30
     [java] Duration:	2 ms		Content: Europe eve 475299 43
     [java] Duration:	3 ms		Content: Europe carol 382850 39
     [java] Duration:	2 ms		Content: Europe eve 764781 42
     [java] Duration:	2 ms		Content: Europe carol 258829 30
     [java] Duration:	2 ms		Content: Europe gary 306575 45
     [java] Duration:	2 ms		Content: Europe gary 21287 43
     [java] Duration:	2 ms		Content: Europe carol 110265 54
     [java] Duration:	2 ms		Content: Europe eve 322551 34
     [java] Duration:	3 ms		Content: Europe gary 955370 54
     [java] Duration:	29 ms		Content: Europe gary 1038976 31
     [java] Duration:	2 ms		Content: Europe eve 470370 59
     [java] Duration:	2 ms		Content: Europe carol 57420 56
     [java] Duration:	2 ms		Content: Europe gary 912430 41
     [java] Duration:	2 ms		Content: Europe alice 627 31
     [java] Duration:	2 ms		Content: Europe eve 168741 54
     [java] Duration:	2 ms		Content: Europe gary 394112 35
     [java] Duration:	2 ms		Content: Europe gary 992869 45
     [java] Duration:	2 ms		Content: Europe eve 549706 50
     [java] Duration:	3 ms		Content: Europe gary 1008706 46
     [java] Duration:	2 ms		Content: Europe eve 805878 34
     [java] Duration:	2 ms		Content: Europe eve 734760 59
     [java] Duration:	2 ms		Content: Europe alice 386843 42
     [java] Duration:	2 ms		Content: Europe carol 530416 35
     [java] Duration:	2 ms		Content: Europe alice 32659 48
     [java] Duration:	2 ms		Content: Europe alice 377859 48
     [java] Duration:	2 ms		Content: Europe carol 411610 38
     [java] Duration:	2 ms		Content: Europe eve 295743 52
     [java] Duration:	2 ms		Content: Europe eve 169808 33
     [java] Duration:	2 ms		Content: Europe eve 282949 55
     [java] Duration:	2 ms		Content: Europe eve 175094 47
     [java] Duration:	17 ms		Content: Europe gary 548631 57
     [java] Duration:	2 ms		Content: Europe eve 905102 37
     [java] Duration:	2 ms		Content: Europe carol 162078 43
     [java] Duration:	2 ms		Content: Europe alice 456532 40
     [java] Duration:	4 ms		Content: Europe alice 131902 35
     [java] Duration:	2 ms		Content: Europe eve 379563 37
     [java] Duration:	9 ms		Content: Europe eve 372601 42
     [java] Duration:	2 ms		Content: Europe gary 825344 58
     [java] Duration:	2 ms		Content: Europe alice 203093 46
     [java] Duration:	7 ms		Content: Europe alice 749544 39
     [java] Duration:	2 ms		Content: Europe eve 221019 50
     [java] Duration:	2 ms		Content: Europe carol 480897 35
     [java] Duration:	2 ms		Content: Europe alice 827748 51
     [java] Duration:	3 ms		Content: Europe eve 757214 41
     [java] Duration:	2 ms		Content: Europe alice 609178 54
     [java] Duration:	25 ms		Content: Europe eve 1033382 38
     [java] Duration:	2 ms		Content: Europe eve 375278 31
     [java] Duration:	2 ms		Content: Europe gary 90590 59
     [java] Duration:	3 ms		Content: Europe carol 362920 47
     [java] Duration:	3 ms		Content: Europe carol 315331 49
     [java] Duration:	3 ms		Content: Europe carol 363495 50
