Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	416 ms		Content: America bob 749220 56
     [java] Duration:	3 ms		Content: America harry 848041 44
     [java] Duration:	3 ms		Content: America fred 820280 39
     [java] Duration:	2 ms		Content: America bob 944584 45
     [java] Duration:	3 ms		Content: America dave 752679 56
     [java] Duration:	3 ms		Content: America dave 207181 48
     [java] Duration:	3 ms		Content: America fred 778434 31
     [java] Duration:	2 ms		Content: America fred 865288 58
     [java] Duration:	2 ms		Content: America fred 952352 43
     [java] Duration:	2 ms		Content: America dave 709429 40
     [java] Duration:	4 ms		Content: America fred 166094 42
     [java] Duration:	2 ms		Content: America fred 1027141 53
     [java] Duration:	3 ms		Content: America fred 898988 55
     [java] Duration:	3 ms		Content: America bob 482603 50
     [java] Duration:	3 ms		Content: America harry 606746 43
     [java] Duration:	3 ms		Content: America dave 852481 50
     [java] Duration:	3 ms		Content: America bob 847071 37
     [java] Duration:	2 ms		Content: America harry 696031 52
     [java] Duration:	3 ms		Content: America dave 113509 36
     [java] Duration:	3 ms		Content: America fred 18846 31
     [java] Duration:	2 ms		Content: America harry 953673 39
     [java] Duration:	23 ms		Content: America bob 780574 54
     [java] Duration:	3 ms		Content: America bob 253676 34
     [java] Duration:	3 ms		Content: America dave 963164 46
     [java] Duration:	3 ms		Content: America harry 290778 52
     [java] Duration:	6 ms		Content: America bob 665340 40
     [java] Duration:	3 ms		Content: America bob 324977 49
     [java] Duration:	3 ms		Content: America harry 200784 36
     [java] Duration:	3 ms		Content: America harry 514604 44
     [java] Duration:	2 ms		Content: America dave 927922 35
     [java] Duration:	3 ms		Content: America dave 526192 41
     [java] Duration:	3 ms		Content: America harry 199511 36
     [java] Duration:	26 ms		Content: America fred 730083 35
     [java] Duration:	3 ms		Content: America dave 454516 55
     [java] Duration:	2 ms		Content: America fred 1000449 40
     [java] Duration:	8 ms		Content: America fred 44395 35
     [java] Duration:	7 ms		Content: America fred 606479 36
     [java] Duration:	2 ms		Content: America bob 495390 40
     [java] Duration:	3 ms		Content: America fred 371916 48
     [java] Duration:	2 ms		Content: America dave 556311 36
     [java] Duration:	3 ms		Content: America fred 872089 47
     [java] Duration:	2 ms		Content: America dave 47753 35
     [java] Duration:	3 ms		Content: America fred 28589 56
     [java] Duration:	2 ms		Content: America bob 421845 33
     [java] Duration:	4 ms		Content: America fred 735649 51
     [java] Duration:	2 ms		Content: America fred 513621 33
     [java] Duration:	2 ms		Content: America harry 362001 40
     [java] Duration:	2 ms		Content: America fred 995275 46
     [java] Duration:	3 ms		Content: America harry 880691 43
     [java] Duration:	2 ms		Content: America fred 245655 46
     [java] Duration:	2 ms		Content: America fred 424671 44
     [java] Duration:	2 ms		Content: America harry 431343 51
     [java] Duration:	2 ms		Content: America dave 437030 47
     [java] Duration:	2 ms		Content: America harry 152638 36
     [java] Duration:	2 ms		Content: America bob 224909 36
     [java] Duration:	2 ms		Content: America bob 372461 48
     [java] Duration:	2 ms		Content: America fred 819697 54
     [java] Duration:	2 ms		Content: America dave 1048091 56
     [java] Duration:	3 ms		Content: America bob 797033 55
     [java] Duration:	2 ms		Content: America dave 718593 51
     [java] Duration:	3 ms		Content: America dave 233012 33
     [java] Duration:	2 ms		Content: America fred 494446 37
     [java] Duration:	23 ms		Content: America dave 498264 53
     [java] Duration:	3 ms		Content: America fred 367609 55
     [java] Duration:	2 ms		Content: America bob 663841 50
     [java] Duration:	3 ms		Content: America harry 574577 53
     [java] Duration:	10 ms		Content: America fred 104507 38
     [java] Duration:	2 ms		Content: America dave 227797 34
     [java] Duration:	2 ms		Content: America harry 419187 57
     [java] Duration:	2 ms		Content: America dave 553151 41
     [java] Duration:	2 ms		Content: America fred 193005 46
     [java] Duration:	2 ms		Content: America harry 595708 57
     [java] Duration:	33 ms		Content: America harry 94345 51
     [java] Duration:	3 ms		Content: America dave 959905 34
     [java] Duration:	3 ms		Content: America fred 548895 50
     [java] Duration:	2 ms		Content: America bob 497108 46
     [java] Duration:	2 ms		Content: America harry 864561 37
     [java] Duration:	2 ms		Content: America bob 967466 38
     [java] Duration:	2 ms		Content: America fred 334273 39
     [java] Duration:	2 ms		Content: America harry 20320 52
     [java] Duration:	3 ms		Content: America dave 527910 52
     [java] Duration:	2 ms		Content: America fred 966049 37
     [java] Duration:	2 ms		Content: America fred 569948 34
     [java] Duration:	11 ms		Content: America fred 386582 32
     [java] Duration:	3 ms		Content: America dave 579003 37
     [java] Duration:	2 ms		Content: America bob 866116 51
     [java] Duration:	26 ms		Content: America harry 810668 41
     [java] Duration:	23 ms		Content: America bob 717643 36
     [java] Duration:	3 ms		Content: America dave 36627 31
     [java] Duration:	2 ms		Content: America harry 804702 36
     [java] Duration:	2 ms		Content: America dave 21018 38
     [java] Duration:	3 ms		Content: America fred 369070 39
     [java] Duration:	2 ms		Content: America bob 1032271 35
     [java] Duration:	2 ms		Content: America fred 727993 31
     [java] Duration:	2 ms		Content: America dave 62463 46
     [java] Duration:	2 ms		Content: America harry 194556 53
     [java] Duration:	2 ms		Content: America bob 624509 57
